 1.67057 -0.939394  1.8 
 1.66667 -0.955343  1.8 
 1.65577 -1  1.8 
 1.63686 -1.06061  1.8 
 1.61311 -1.12121  1.8 
 1.60606 -1.13636  1.8 
 1.58387 -1.18182  1.8 
 1.54776 -1.24242  1.8 
 1.54545 -1.24578  1.8 
 1.50187 -1.30303  1.8 
 1.48485 -1.322  1.8 
 1.44087 -1.36364  1.8 
 1.42424 -1.37726  1.8 
 1.36364 -1.41646  1.8 
 1.34707 -1.42424  1.8 
 1.30303 -1.44255  1.8 
 1.24242 -1.4577  1.8 
 1.18182 -1.46334  1.8 
 1.12121 -1.46037  1.8 
 1.06061 -1.44952  1.8 
 1 -1.4314  1.8 

-1.12121  1.47922  1.8 
-1.11515  1.48485  1.8 
-1.06061  1.53155  1.8 
-1.04267  1.54545  1.8 
-1  1.57691  1.8 
-0.955287  1.60606  1.8 
-0.939394  1.61619  1.8 
-0.878788  1.65096  1.8 
-0.847356  1.66667  1.8 
-0.818182  1.68141  1.8 
-0.757576  1.70819  1.8 
-0.706406  1.72727  1.8 
-0.69697  1.73095  1.8 
-0.636364  1.75166  1.8 
-0.575758  1.76873  1.8 
-0.515152  1.78257  1.8 
-0.48636  1.78788  1.8 
-0.454545  1.79428  1.8 
-0.393939  1.80372  1.8 
-0.333333  1.81044  1.8 
-0.272727  1.81458  1.8 
-0.212121  1.81624  1.8 
-0.151515  1.81547  1.8 
-0.0909091  1.81225  1.8 
-0.030303  1.80652  1.8 
 0.030303  1.79815  1.8 
 0.0860559  1.78788  1.8 
 0.0909091  1.78706  1.8 
 0.151515  1.77443  1.8 
 0.212121  1.7588  1.8 
 0.272727  1.73979  1.8 
 0.30685  1.72727  1.8 
 0.333333  1.718  1.8 
 0.393939  1.69355  1.8 
 0.45039  1.66667  1.8 
 0.454545  1.66472  1.8 
 0.515152  1.63342  1.8 
 0.560978  1.60606  1.8 
 0.575758  1.59714  1.8 
 0.636364  1.55667  1.8 
 0.651705  1.54545  1.8 
 0.69697  1.51099  1.8 
 0.728367  1.48485  1.8 
 0.757576  1.45892  1.8 
 0.794094  1.42424  1.8 
 0.818182  1.39927  1.8 
 0.851027  1.36364  1.8 
 0.878788  1.32995  1.8 
 0.900452  1.30303  1.8 
 0.939394  1.2476  1.8 
 0.94302  1.24242  1.8 
 0.980682  1.18182  1.8 
 1  1.14481  1.8 
 1.01268  1.12121  1.8 
 1.0403  1.06061  1.8 
 1.06061  1.00607  1.8 
 1.063  1  1.8 
 1.08288  0.939394  1.8 
 1.0987  0.878788  1.8 
 1.11111  0.818182  1.8 
 1.12072  0.757576  1.8 
 1.12121  0.753392  1.8 
 1.12867  0.69697  1.8 
 1.13489  0.636364  1.8 
 1.14022  0.575758  1.8 
 1.14583  0.515152  1.8 
 1.15333  0.454545  1.8 
 1.16495  0.393939  1.8 
 1.18182  0.339175  1.8 
 1.18377  0.333333  1.8 
 1.21197  0.272727  1.8 
 1.24242  0.226352  1.8 
 1.25172  0.212121  1.8 
 1.30019  0.151515  1.8 
 1.30303  0.148478  1.8 
 1.35226  0.0909091  1.8 
 1.36364  0.0786318  1.8 
 1.40408  0.030303  1.8 
 1.42424  0.00664779  1.8 
 1.4528 -0.030303  1.8 
 1.48485 -0.0731388  1.8 
 1.49709 -0.0909091  1.8 
 1.53623 -0.151515  1.8 
 1.54545 -0.167094  1.8 
 1.57052 -0.212121  1.8 
 1.59999 -0.272727  1.8 
 1.60606 -0.287012  1.8 
 1.62516 -0.333333  1.8 
 1.64601 -0.393939  1.8 
 1.66274 -0.454545  1.8 
 1.66667 -0.472663  1.8 
 1.67596 -0.515152  1.8 
 1.68558 -0.575758  1.8 
 1.69164 -0.636364  1.8 
 1.69427 -0.69697  1.8 
 1.69353 -0.757576  1.8 
 1.68941 -0.818182  1.8 
 1.68182 -0.878788  1.8 
 1.67057 -0.939394  1.8 

 1 -1.4314  1.8 
 0.982935 -1.42424  1.8 
 0.939394 -1.40527  1.8 
 0.878788 -1.37165  1.8 
 0.866773 -1.36364  1.8 
 0.818182 -1.32795  1.8 
 0.78904 -1.30303  1.8 
 0.757576 -1.27199  1.8 
 0.731113 -1.24242  1.8 
 0.69697 -1.19593  1.8 
 0.687515 -1.18182  1.8 
 0.655498 -1.12121  1.8 
 0.636364 -1.07286  1.8 
 0.631795 -1.06061  1.8 
 0.614877 -1  1.8 
 0.602935 -0.939394  1.8 
 0.59477 -0.878788  1.8 
 0.589575 -0.818182  1.8 
 0.58688 -0.757576  1.8 
 0.58646 -0.69697  1.8 
 0.588242 -0.636364  1.8 
 0.592207 -0.575758  1.8 
 0.598301 -0.515152  1.8 
 0.606356 -0.454545  1.8 
 0.616033 -0.393939  1.8 
 0.626765 -0.333333  1.8 
 0.636364 -0.279865  1.8 
 0.637781 -0.272727  1.8 
 0.648256 -0.212121  1.8 
 0.656052 -0.151515  1.8 
 0.65859 -0.0909091  1.8 
 0.651478 -0.030303  1.8 
 0.636364  0.00850579  1.8 
 0.626328  0.030303  1.8 
 0.575758  0.081297  1.8 
 0.5627  0.0909091  1.8 
 0.515152  0.112988  1.8 
 0.454545  0.131811  1.8 
 0.393939  0.143378  1.8 
 0.333333  0.149627  1.8 
 0.279926  0.151515  1.8 
 0.272727  0.151719  1.8 
 0.261821  0.151515  1.8 
 0.212121  0.150534  1.8 
 0.151515  0.146569  1.8 
 0.0909091  0.14033  1.8 
 0.030303  0.132257  1.8 
-0.030303  0.122805  1.8 
-0.0909091  0.112487  1.8 
-0.151515  0.101913  1.8 
