
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:      1.8
 1.64028 -1.05053  1.8 
 1.63893 -1.05453  1.8 
 1.63756 -1.05853  1.8 
 1.63617 -1.06253  1.8 
 1.63475 -1.06653  1.8 
 1.63332 -1.07054  1.8 
 1.63186 -1.07454  1.8 
 1.63039 -1.07854  1.8 
 1.62889 -1.08254  1.8 
 1.62736 -1.08654  1.8 
 1.62582 -1.09055  1.8 
 1.62425 -1.09455  1.8 
 1.62266 -1.09855  1.8 
 1.62105 -1.10255  1.8 
 1.61941 -1.10655  1.8 
 1.61775 -1.11056  1.8 
 1.61607 -1.11456  1.8 
 1.61436 -1.11856  1.8 
 1.61263 -1.12256  1.8 
 1.61087 -1.12656  1.8 
 1.60909 -1.13057  1.8 
 1.60728 -1.13457  1.8 
 1.60544 -1.13857  1.8 
 1.60358 -1.14257  1.8 

 1.63697 -0.366183  1.8 
 1.63832 -0.370185  1.8 
 1.63965 -0.374187  1.8 
 1.64096 -0.378189  1.8 
 1.64225 -0.382191  1.8 
 1.64352 -0.386193  1.8 
 1.64478 -0.390195  1.8 
 1.64601 -0.394197  1.8 
 1.64723 -0.398199  1.8 
 1.64844 -0.402201  1.8 
 1.64962 -0.406203  1.8 
 1.65079 -0.410205  1.8 
 1.65194 -0.414207  1.8 
 1.65307 -0.418209  1.8 
 1.65418 -0.422211  1.8 
 1.65528 -0.426213  1.8 
 1.65636 -0.430215  1.8 
 1.65657 -0.430992  1.8 
 1.65746 -0.434217  1.8 
 1.65855 -0.438219  1.8 
 1.65963 -0.442221  1.8 
 1.66068 -0.446223  1.8 
 1.66172 -0.450225  1.8 
 1.66275 -0.454227  1.8 
 1.66375 -0.458229  1.8 
 1.66474 -0.462231  1.8 
 1.66571 -0.466233  1.8 
 1.66666 -0.470235  1.8 
 1.6676 -0.474237  1.8 
 1.66852 -0.478239  1.8 
 1.66942 -0.482241  1.8 
 1.6703 -0.486243  1.8 
 1.67117 -0.490245  1.8 
 1.67202 -0.494247  1.8 
 1.67286 -0.498249  1.8 
 1.67368 -0.502251  1.8 
 1.67448 -0.506253  1.8 
 1.67526 -0.510255  1.8 
 1.67603 -0.514257  1.8 
 1.67678 -0.518259  1.8 
 1.67752 -0.522261  1.8 
 1.67824 -0.526263  1.8 
 1.67894 -0.530265  1.8 
 1.67963 -0.534267  1.8 
 1.6803 -0.538269  1.8 
 1.68096 -0.542271  1.8 
 1.6816 -0.546273  1.8 
 1.68222 -0.550275  1.8 
 1.68283 -0.554277  1.8 
 1.68342 -0.558279  1.8 
 1.684 -0.562281  1.8 
 1.68456 -0.566283  1.8 
 1.6851 -0.570285  1.8 
 1.68563 -0.574287  1.8 
 1.68615 -0.578289  1.8 
 1.68665 -0.582291  1.8 
 1.68713 -0.586293  1.8 
 1.6876 -0.590295  1.8 
 1.68805 -0.594297  1.8 
 1.68849 -0.598299  1.8 
 1.68891 -0.602301  1.8 
 1.68931 -0.606303  1.8 
 1.68971 -0.610305  1.8 
 1.69008 -0.614307  1.8 
 1.69044 -0.618309  1.8 
 1.69079 -0.622311  1.8 
 1.69112 -0.626313  1.8 
 1.69144 -0.630315  1.8 
 1.69174 -0.634317  1.8 
 1.69202 -0.638319  1.8 
 1.6923 -0.642321  1.8 
 1.69255 -0.646323  1.8 
 1.69279 -0.650325  1.8 
 1.69302 -0.654327  1.8 
 1.69323 -0.658329  1.8 
 1.69343 -0.662331  1.8 
 1.69361 -0.666333  1.8 
 1.69378 -0.670335  1.8 
 1.69393 -0.674337  1.8 
 1.69407 -0.678339  1.8 
 1.69419 -0.682341  1.8 
 1.6943 -0.686343  1.8 
 1.69439 -0.690345  1.8 
 1.69447 -0.694347  1.8 
 1.69454 -0.698349  1.8 
 1.69459 -0.702351  1.8 
 1.69462 -0.706353  1.8 
